algorithm,size,data_type,time_ms
bubble_sort,100,random,0.893633
selection_sort,100,random,0.620867
insertion_sort,100,random,0.661867
merge_sort,100,random,0.496933
quick_sort,100,random,0.428133
bubble_sort,500,random,22.577600
selection_sort,500,random,9.845233
insertion_sort,500,random,11.154067
merge_sort,500,random,2.038267
quick_sort,500,random,2.349933
bubble_sort,1000,random,83.828400
selection_sort,1000,random,47.349100
insertion_sort,1000,random,101.733233
merge_sort,1000,random,6.243967
quick_sort,1000,random,3.905567
bubble_sort,5000,random,1781.849867
selection_sort,5000,random,696.429467
insertion_sort,5000,random,910.209333
merge_sort,5000,random,16.153167
quick_sort,5000,random,13.311433
bubble_sort,10000,random,8967.584000
selection_sort,10000,random,2602.134167
insertion_sort,10000,random,2877.435433
merge_sort,10000,random,39.490867
quick_sort,10000,random,25.893567
bubble_sort,100,sorted,0.043167
selection_sort,100,sorted,0.223867
insertion_sort,100,sorted,0.053300
merge_sort,100,sorted,0.139533
quick_sort,100,sorted,0.123767
bubble_sort,500,sorted,0.231667
selection_sort,500,sorted,6.506933
insertion_sort,500,sorted,0.296467
merge_sort,500,sorted,1.014200
quick_sort,500,sorted,0.836233
bubble_sort,1000,sorted,0.466933
selection_sort,1000,sorted,26.905467
insertion_sort,1000,sorted,0.412833
merge_sort,1000,sorted,1.960400
quick_sort,1000,sorted,1.704800
bubble_sort,5000,sorted,2.166333
selection_sort,5000,sorted,652.570067
insertion_sort,5000,sorted,3.156833
merge_sort,5000,sorted,18.966267
quick_sort,5000,sorted,13.765667
bubble_sort,10000,sorted,4.159500
selection_sort,10000,sorted,2684.817067
insertion_sort,10000,sorted,5.260733
merge_sort,10000,sorted,25.905700
quick_sort,10000,sorted,20.677433
bubble_sort,100,reversed,0.575400
selection_sort,100,reversed,0.243300
insertion_sort,100,reversed,0.432333
merge_sort,100,reversed,0.168633
quick_sort,100,reversed,0.126367
bubble_sort,500,reversed,17.212500
selection_sort,500,reversed,6.439800
insertion_sort,500,reversed,11.181533
merge_sort,500,reversed,0.891300
quick_sort,500,reversed,0.692467
bubble_sort,1000,reversed,68.695600
selection_sort,1000,reversed,25.798267
insertion_sort,1000,reversed,45.219667
merge_sort,1000,reversed,1.892467
quick_sort,1000,reversed,1.508367
bubble_sort,5000,reversed,2082.228900
selection_sort,5000,reversed,665.706900
insertion_sort,5000,reversed,1285.375533
merge_sort,5000,reversed,10.204700
quick_sort,5000,reversed,8.641267
bubble_sort,10000,reversed,7844.276167
selection_sort,10000,reversed,2721.737367
insertion_sort,10000,reversed,6769.792100
merge_sort,10000,reversed,45.923300
quick_sort,10000,reversed,52.078167
bubble_sort,100,almost_sorted,0.484267
selection_sort,100,almost_sorted,0.423300
insertion_sort,100,almost_sorted,0.172000
merge_sort,100,almost_sorted,0.327667
quick_sort,100,almost_sorted,0.184500
bubble_sort,500,almost_sorted,11.520833
selection_sort,500,almost_sorted,10.080100
insertion_sort,500,almost_sorted,1.527367
merge_sort,500,almost_sorted,1.373667
quick_sort,500,almost_sorted,1.224667
bubble_sort,1000,almost_sorted,49.000800
selection_sort,1000,almost_sorted,31.048333
insertion_sort,1000,almost_sorted,4.288767
merge_sort,1000,almost_sorted,2.981367
quick_sort,1000,almost_sorted,2.477000
bubble_sort,5000,almost_sorted,1417.492733
selection_sort,5000,almost_sorted,1141.630133
insertion_sort,5000,almost_sorted,183.025933
merge_sort,5000,almost_sorted,37.723367
quick_sort,5000,almost_sorted,24.900933
bubble_sort,10000,almost_sorted,5753.262133
selection_sort,10000,almost_sorted,2899.127733
insertion_sort,10000,almost_sorted,342.549900
merge_sort,10000,almost_sorted,34.993600
quick_sort,10000,almost_sorted,29.541067
